"trial_type","trial_index","time_elapsed","internal_node_id","code","subject","workerId","hitId","assignmentId","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","init_locations","moves","final_locations","stim_category","response","question_order"
"pavlovia","0","44","0.0-0.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","","","","","","","",""
"preload","1","2034","0.0-1.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","true","false","[]","[]","[]","","","","","","","",""
"fullscreen","2","5563","0.0-2.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","true","","","","","","","","","","","",""
"instructions","3","54754","0.0-3.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","[{""page_index"":0,""viewing_time"":10748.100000023842},{""page_index"":1,""viewing_time"":20201.200000047684},{""page_index"":2,""viewing_time"":11683.399999976158},{""page_index"":3,""viewing_time"":6553}]","49186.40000009537","","","","","",""
"free-sort","4","69038","0.0-4.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","","14280.700000047684","[{""src"":""images/cottage.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/house_1.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/house_2.jpg"",""x"":877.0666666666667,""y"":600},{""src"":""images/house_3.jpg"",""x"":-177.0666666666667,""y"":0}]","[{""src"":""images/house_3.jpg"",""x"":126,""y"":157},{""src"":""images/house_1.jpg"",""x"":85,""y"":249},{""src"":""images/house_2.jpg"",""x"":215,""y"":294},{""src"":""images/cottage.jpg"",""x"":613,""y"":258}]","[{""src"":""images/cottage.jpg"",""x"":613,""y"":258},{""src"":""images/house_1.jpg"",""x"":85,""y"":249},{""src"":""images/house_2.jpg"",""x"":215,""y"":294},{""src"":""images/house_3.jpg"",""x"":126,""y"":157}]","practice_1","",""
"free-sort","5","85638","0.0-5.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","","16597.199999928474","[{""src"":""images/screwdriver_1.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/hammer_2.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/hammer_1.jpg"",""x"":877.0666666666667,""y"":300},{""src"":""images/screwdriver_2.jpg"",""x"":-177.0666666666667,""y"":300},{""src"":""images/microphone.jpg"",""x"":877.0666666666667,""y"":600}]","[{""src"":""images/screwdriver_1.jpg"",""x"":177,""y"":109},{""src"":""images/screwdriver_2.jpg"",""x"":74,""y"":200},{""src"":""images/hammer_2.jpg"",""x"":285,""y"":556},{""src"":""images/hammer_1.jpg"",""x"":254,""y"":432},{""src"":""images/microphone.jpg"",""x"":649,""y"":309}]","[{""src"":""images/screwdriver_1.jpg"",""x"":177,""y"":109},{""src"":""images/hammer_2.jpg"",""x"":285,""y"":556},{""src"":""images/hammer_1.jpg"",""x"":254,""y"":432},{""src"":""images/screwdriver_2.jpg"",""x"":74,""y"":200},{""src"":""images/microphone.jpg"",""x"":649,""y"":309}]","practice_2","",""
"free-sort","6","154550","0.0-6.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","","68909.29999995232","[{""src"":""stims_boa/bas2.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_boa/sup1.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_boa/sub3.jpg"",""x"":830.4000000000001,""y"":150},{""src"":""stims_boa/sub2.jpg"",""x"":-130.40000000000003,""y"":450},{""src"":""stims_boa/sup5.jpg"",""x"":830.4000000000001,""y"":300},{""src"":""stims_boa/bas3.jpg"",""x"":-130.40000000000003,""y"":300},{""src"":""stims_boa/sup7.jpg"",""x"":830.4000000000001,""y"":450},{""src"":""stims_boa/bas1.jpg"",""x"":-130.40000000000003,""y"":150},{""src"":""stims_boa/sub1.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_boa/sup3.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_boa/sup6.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_boa/sub5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_boa/sup2.jpg"",""x"":970.4000000000001,""y"":150},{""src"":""stims_boa/bas4.jpg"",""x"":-270.40000000000003,""y"":450},{""src"":""stims_boa/sup8.jpg"",""x"":970.4000000000001,""y"":300},{""src"":""stims_boa/sub4.jpg"",""x"":-270.40000000000003,""y"":300},{""src"":""stims_boa/sup4.jpg"",""x"":970.4000000000001,""y"":450}]","[{""src"":""stims_boa/bas2.jpg"",""x"":485,""y"":109},{""src"":""stims_boa/sup6.jpg"",""x"":448,""y"":222},{""src"":""stims_boa/sup2.jpg"",""x"":564,""y"":199},{""src"":""stims_boa/sup7.jpg"",""x"":551,""y"":309},{""src"":""stims_boa/sub1.jpg"",""x"":591,""y"":443},{""src"":""stims_boa/sub5.jpg"",""x"":471,""y"":480},{""src"":""stims_boa/sub4.jpg"",""x"":378,""y"":534},{""src"":""stims_boa/sub2.jpg"",""x"":387,""y"":428},{""src"":""stims_boa/bas4.jpg"",""x"":536,""y"":152},{""src"":""stims_boa/bas4.jpg"",""x"":587,""y"":110},{""src"":""stims_boa/bas4.jpg"",""x"":564,""y"":117},{""src"":""stims_boa/bas2.jpg"",""x"":434,""y"":105},{""src"":""stims_boa/bas4.jpg"",""x"":564,""y"":117},{""src"":""stims_boa/bas4.jpg"",""x"":538,""y"":120},{""src"":""stims_boa/sub3.jpg"",""x"":284,""y"":532},{""src"":""stims_boa/sup5.jpg"",""x"":813,""y"":315},{""src"":""stims_boa/sup4.jpg"",""x"":288,""y"":429},{""src"":""stims_boa/bas3.jpg"",""x"":329,""y"":45},{""src"":""stims_boa/bas1.jpg"",""x"":332,""y"":159},{""src"":""stims_boa/sup8.jpg"",""x"":40,""y"":310},{""src"":""stims_boa/sup5.jpg"",""x"":259,""y"":278},{""src"":""stims_boa/bas1.jpg"",""x"":665,""y"":293},{""src"":""stims_boa/sup5.jpg"",""x"":216,""y"":176},{""src"":""stims_boa/sup3.jpg"",""x"":182,""y"":73},{""src"":""stims_boa/sup3.jpg"",""x"":182,""y"":75},{""src"":""stims_boa/sup1.jpg"",""x"":255,""y"":268}]","[{""src"":""stims_boa/bas2.jpg"",""x"":434,""y"":105},{""src"":""stims_boa/sup1.jpg"",""x"":255,""y"":268},{""src"":""stims_boa/sub3.jpg"",""x"":284,""y"":532},{""src"":""stims_boa/sub2.jpg"",""x"":387,""y"":428},{""src"":""stims_boa/sup5.jpg"",""x"":216,""y"":176},{""src"":""stims_boa/bas3.jpg"",""x"":329,""y"":45},{""src"":""stims_boa/sup7.jpg"",""x"":551,""y"":309},{""src"":""stims_boa/bas1.jpg"",""x"":665,""y"":293},{""src"":""stims_boa/sub1.jpg"",""x"":591,""y"":443},{""src"":""stims_boa/sup3.jpg"",""x"":182,""y"":75},{""src"":""stims_boa/sup6.jpg"",""x"":448,""y"":222},{""src"":""stims_boa/sub5.jpg"",""x"":471,""y"":480},{""src"":""stims_boa/sup2.jpg"",""x"":564,""y"":199},{""src"":""stims_boa/bas4.jpg"",""x"":538,""y"":120},{""src"":""stims_boa/sup8.jpg"",""x"":40,""y"":310},{""src"":""stims_boa/sub4.jpg"",""x"":378,""y"":534},{""src"":""stims_boa/sup4.jpg"",""x"":288,""y"":429}]","stims_boa","",""
"free-sort","7","227269","0.0-7.0","myoreXoCatActImGgkUdgAUOt","p372042","F8D80F3CE5DD4B439397CCC4199D2D22","076d4ae9-1d81-4eff-8850-8afaec0d02bb","b84d97b9-f1dd-4366-b49d-82d0790674cb","","","","","","","72717.40000009537","[{""src"":""stims_sta/sup6.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_sta/sub3.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_sta/sub4.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_sta/sub1.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_sta/sup2.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_sta/sup4.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_sta/bas1.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_sta/sup5.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_sta/bas4.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_sta/bas3.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_sta/sup3.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_sta/sup1.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_sta/sub5.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_sta/bas2.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_sta/sub2.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_sta/sub5.jpg"",""x"":460,""y"":72},{""src"":""stims_sta/sub1.jpg"",""x"":378,""y"":86},{""src"":""stims_sta/sub4.jpg"",""x"":542,""y"":138},{""src"":""stims_sta/sub2.jpg"",""x"":610,""y"":220},{""src"":""stims_sta/bas1.jpg"",""x"":406,""y"":540},{""src"":""stims_sta/bas4.jpg"",""x"":536,""y"":459},{""src"":""stims_sta/bas1.jpg"",""x"":444,""y"":520},{""src"":""stims_sta/bas3.jpg"",""x"":434,""y"":417},{""src"":""stims_sta/sub3.jpg"",""x"":436,""y"":173},{""src"":""stims_sta/bas2.jpg"",""x"":278,""y"":53},{""src"":""stims_sta/sup1.jpg"",""x"":-270,""y"":400},{""src"":""stims_sta/sup1.jpg"",""x"":-284,""y"":381},{""src"":""stims_sta/sup1.jpg"",""x"":-284,""y"":381},{""src"":""stims_sta/sup1.jpg"",""x"":-284,""y"":381},{""src"":""stims_sta/sup1.jpg"",""x"":124,""y"":151},{""src"":""stims_sta/sup4.jpg"",""x"":87,""y"":414},{""src"":""stims_sta/sup6.jpg"",""x"":209,""y"":216},{""src"":""stims_sta/sup3.jpg"",""x"":970,""y"":200},{""src"":""stims_sta/sup3.jpg"",""x"":160,""y"":496},{""src"":""stims_sta/sup5.jpg"",""x"":263,""y"":438},{""src"":""stims_sta/sup4.jpg"",""x"":200,""y"":377},{""src"":""stims_sta/sup2.jpg"",""x"":36,""y"":340}]","[{""src"":""stims_sta/sup6.jpg"",""x"":209,""y"":216},{""src"":""stims_sta/sub3.jpg"",""x"":436,""y"":173},{""src"":""stims_sta/sub4.jpg"",""x"":542,""y"":138},{""src"":""stims_sta/sub1.jpg"",""x"":378,""y"":86},{""src"":""stims_sta/sup2.jpg"",""x"":36,""y"":340},{""src"":""stims_sta/sup4.jpg"",""x"":200,""y"":377},{""src"":""stims_sta/bas1.jpg"",""x"":444,""y"":520},{""src"":""stims_sta/sup5.jpg"",""x"":263,""y"":438},{""src"":""stims_sta/bas4.jpg"",""x"":536,""y"":459},{""src"":""stims_sta/bas3.jpg"",""x"":434,""y"":417},{""src"":""stims_sta/sup3.jpg"",""x"":160,""y"":496},{""src"":""stims_sta/sup1.jpg"",""x"":124,""y"":151},{""src"":""stims_sta/sub5.jpg"",""x"":460,""y"":72},{""src"":""stims_sta/bas2.jpg"",""x"":278,""y"":53},{""src"":""stims_sta/sub2.jpg"",""x"":610,""y"":220}]","stims_sta","",""
